"company_permalink","company_name","company_category_code","company_country_code","company_state_code","company_region","company_city","acquirer_permalink","acquirer_name","acquirer_category_code","acquirer_country_code","acquirer_state_code","acquirer_region","acquirer_city","acquired_at","acquired_month","acquired_quarter","acquired_year","price_amount","price_currency_code","id"
"/company/waywire","#waywire","news","USA","NY","New York","New York","/company/magnify","Magnify","games_video","USA","NY","New York","New York","10/17/13","2013-10","2013-Q4",2013.0,,"USD",1
"/company/1-nation-technology","1 Nation Technology",,,,"unknown",,"/company/vology","Vology","other",,,"unknown",,"1/1/06","2006-01","2006-Q1",2006.0,,"USD",2
"/company/1-stop-financial-service-centers-of-america","1 Stop Financial Service Centers of America",,"USA","TX","Austin","Round Rock","/company/confie-seguros","Confie Seguros","enterprise","USA","CA","Los Angeles","Buena Park","2/3/14","2014-02","2014-Q1",2014.0,,"USD",3
"/company/1-800-contacts-2","1-800 Contacts",,,,"unknown",,"/company/thomas-h-lee-partners","Thomas H. Lee Partners",,"USA","MA","Boston","Boston","1/7/14","2014-01","2014-Q1",2014.0,,"USD",4
"/company/1000memories","1000memories","web","USA","CA","SF Bay","San Francisco","/company/ancestry-com","Ancestry","ecommerce","USA","UT","Salt Lake City","Provo","10/3/12","2012-10","2012-Q4",2012.0,,"USD",5
"/company/10best","10best","web","USA","SC","Greenville","Greenville","/company/nile-guide","NileGuide","social","USA","CA","SF Bay","San Francisco","1/25/11","2011-01","2011-Q1",2011.0,,"USD",6
"/company/10east","10East","network_hosting","USA","FL","Jacksonville","Jacksonville","/company/railcar-management","Railcar Management","enterprise",,,"unknown",,"4/14/09","2009-04","2009-Q2",2009.0,,"USD",7
"/company/10k-wizard","10K Wizard",,,,"unknown",,"/company/morningstar","Morningstar","software","USA","IL","Chicago","Chicago","12/4/08","2008-12","2008-Q4",2008.0,,"USD",8
"/company/123linkit-com","123LinkIt.com",,,,"unknown",,"/company/netline","NetLine","advertising","USA","CA","SF Bay","Los Gatos","12/6/11","2011-12","2011-Q4",2011.0,,"USD",9
"/company/123people","123people","search","AUT",,"Vienna","Vienna","/company/pagesjaunes","PagesJaunes","advertising","FRA",,"Paris","Sevres","3/19/10","2010-03","2010-Q1",2010.0,,"USD",10
"/company/12designer","12designer","public_relations","DEU",,"Berlin","Berlin","/company/99designs","99designs","design","USA","CA","SF Bay","San Francisco","8/6/12","2012-08","2012-Q3",2012.0,,"USD",11
"/company/12society","12Society","ecommerce","USA","CA","Los Angeles","West Hollywood","/company/quarterly","Quarterly","web","USA","CA","Los Angeles","West Hollywood","7/3/13","2013-07","2013-Q3",2013.0,,"USD",12
"/company/1form-com","1Form.com","other","AUS",,"Australia - Other",,"/company/rea-group","REA Group","news","AUS",,"Victoria","Victoria","1/14/14","2014-01","2014-Q1",2014.0,1.5E7,"USD",13
"/company/1st-choice-security-solutions","1st Choice Security Solutions","security","USA","GA","Atlanta","Atlanta","/company/comcam","ComCam",,"USA","PA","Philadelphia","West Chester","4/13/11","2011-04","2011-Q2",2011.0,,"USD",14
"/company/1vault-networks","1Vault Networks","software",,,"unknown",,"/company/peak-10","Peak 10","network_hosting","USA","NC","Charlotte","Charlotte","12/22/09","2009-12","2009-Q4",2009.0,,"USD",15
"/company/2020-social","2020 Social","consulting","IND",,"New Delhi","New Delhi","/company/publicis-groupe","Publicis Groupe","public_relations","FRA",,"Paris","Paris","10/1/10","2010-10","2010-Q4",2010.0,,"USD",16
"/company/20-20-media","20:20 Media",,"IND",,"Noida","Noida","/company/publicis-groupe","Publicis Groupe","public_relations","FRA",,"Paris","Paris","10/1/10","2010-10","2010-Q4",2010.0,,"USD",17
"/company/21st-century-infra-tele","21st Century Infra Tele","public_relations","IND",,"India - Other",,"/company/wireless-tt-info-services","Wireless TT Info Services","public_relations","IND",,"Hyderabad","Hyderabad","4/6/10","2010-04","2010-Q2",2010.0,,"USD",18
"/company/236-com","236.com","web",,,"unknown",,"/company/huffingtonpost","The Huffington Post","news","USA","NY","New York","New York","1/14/09","2009-01","2009-Q1",2009.0,,"USD",19
"/company/24-solutions-ab","24 Solutions AB",,,,"unknown",,"/company/24mas","24MAS",,"SWE",,"Nacka","Nacka","12/23/09","2009-12","2009-Q4",2009.0,,"USD",20
"/company/24-7-real-media","24/7 Real Media","advertising","USA","NY","New York","New York","/company/wpp","WPP","public_relations","USA","NY","New York","New York","5/17/08","2008-05","2008-Q2",2008.0,6.49E8,"USD",21
"/company/24-7-solutions","24/7 Solutions","software",,,"unknown",,"/company/sentel","Sentel","other",,,"unknown",,"4/16/09","2009-04","2009-Q2",2009.0,,"USD",22
"/company/280-north","280 North","software",,,"unknown",,"/company/motorola-mobility","Motorola Mobility","mobile","USA",,"United States - Other",,"7/1/10","2010-07","2010-Q3",2010.0,2.0E7,"USD",23
"/company/280-north","280 North","software",,,"unknown",,"/company/motorola-solutions","Motorola Solutions","enterprise","USA","IL","Chicago","Schaumburg","7/1/10","2010-07","2010-Q3",2010.0,2.0E7,"USD",24
"/company/2ergo","2ergo","mobile","USA","VA","Washington DC","Arlington","/company/soundbite-communication","SoundBite Communications","public_relations","USA","VA","Bedford","Bedford","2/1/12","2012-02","2012-Q1",2012.0,,"USD",25
"/company/2nd-story-software-inc","2nd Story Software, Inc.","software","USA","IA","Cedar Rapids","Cedar Rapids","/company/blucora","Blucora","web","USA","WA","Seattle","Bellevue","1/9/12","2012-01","2012-Q1",2012.0,2.875E8,"USD",26
"/company/2web-technologies","2Web Technologies","software",,,"unknown",,"/company/google","Google","search","USA","CA","SF Bay","Mountain View","6/1/06","2006-06","2006-Q2",2006.0,,"USD",27
"/company/2wire","2Wire","web","USA","CA","SF Bay","San Jose","/company/pace","Pace","hardware","GBR",,"England","England","7/26/10","2010-07","2010-Q3",2010.0,4.75E8,"USD",28
"/company/3-blokes-studios","3 Blokes Studios","games_video","AUS",,"Fortitude Valley QLD","Fortitude Valley QLD","/company/rockyou","RockYou","games_video","USA","CA","SF Bay","Redwood City","6/1/11","2011-06","2011-Q2",2011.0,,"USD",29
"/company/3001","3001",,"USA","VA","Washington DC","Fairfax","/company/northrop-grumman","Northrop Grumman","security","USA","CA","Los Angeles","Los Angeles","9/10/08","2008-09","2008-Q3",2008.0,,"USD",30
"/company/360-scheduling","360 Scheduling","software","GBR",,"Nottingham","Nottingham","/company/ifs","IFS","software",,,"unknown",,"9/30/10","2010-09","2010-Q3",2010.0,,"USD",31
"/company/360-vantage","360 Vantage","mobile","USA","AZ","Phoenix","Chandler","/company/ims-health","IMS Health","web","USA","CT","Danbury","Danbury","5/20/13","2013-05","2013-Q2",2013.0,,"USD",32
"/company/360commerce","360Commerce",,"USA","TX","Austin","Austin","/company/oracle","Oracle Corporation","enterprise","USA","CA","SF Bay","Redwood City","1/18/06","2006-01","2006-Q1",2006.0,,"USD",33
"/company/360networks","360networks","public_relations","USA","WA","Seattle","Seattle","/company/zayo-group","Zayo Group","public_relations","USA","CO","Denver","Louisville","10/1/11","2011-10","2011-Q4",2011.0,,"USD",34
"/company/360networks","360networks","public_relations","USA","WA","Seattle","Seattle","/company/zayo-bandwidth","Zayo Bandwidth","network_hosting","USA","CO","Denver","Louisville","12/2/11","2011-12","2011-Q4",2011.0,,"USD",35
"/company/380-development","380 Development",,,,"unknown",,"/company/kb-marine-holdings","KB Marine Holdings",,,,"unknown",,"11/11/09","2009-11","2009-Q4",2009.0,,"USD",36
"/company/3com","3Com","web","USA","MA","Boston","Marlborough","/company/hewlett-packard","Hewlett-Packard","web","USA","CA","SF Bay","Palo Alto","11/11/09","2009-11","2009-Q4",2009.0,2.7E9,"USD",37
"/company/3d-geo","3D Geo","software","DEU",,"Potsdam","Potsdam","/company/autodesk","Autodesk","software","USA","CA","SF Bay","San Rafael","9/9/08","2008-09","2008-Q3",2008.0,,"USD",38
"/company/3d-markets","3D Markets","software",,,"unknown",,"/company/pipeline-financial-group","Pipeline Financial Group","enterprise","USA","NY","New York","New York","4/22/09","2009-04","2009-Q2",2009.0,,"USD",39
"/company/3d3r","3D3R Software Studio","software","USA","CA","SF Bay","Santa Clara","/company/chegg","Chegg","education","USA","CA","SF Bay","Santa Clara","11/14/11","2011-11","2011-Q4",2011.0,,"USD",40
"/company/3db-research","3dB Research",,"CAN",,"Victoria","Victoria, BC","/company/harman-international","Harman International Industries","other","USA","CT","New York","Stamford","2/18/11","2011-02","2011-Q1",2011.0,,"USD",41
"/company/3done-software","3DOne Software",,,,"unknown",,"/company/actify","Actify",,"USA","CA","SF Bay","San Francisco","7/6/11","2011-07","2011-Q3",2011.0,,"USD",42
"/company/3dtin","3DTin",,,,"unknown",,"/company/lagoa","Lagoa","enterprise","CAN",,"Montreal","Montreal, Quebec","9/22/13","2013-09","2013-Q3",2013.0,,"USD",43
"/company/3e-company","3E Company","cleantech","USA","CA","San Diego","Carlsbad","/company/verisk-analytics","Verisk Analytics","public_relations","USA","NJ","New York","Jersey City","12/7/10","2010-12","2010-Q4",2010.0,1.1E8,"USD",44
"/company/3leaf","3Leaf","network_hosting","USA","CA","SF Bay","Santa Clara","/company/huawei","Huawei Technologies","network_hosting","CHN",,"Shenzhen","Shenzhen","2/19/11","2011-02","2011-Q1",2011.0,,"USD",45
"/company/3lm","3LM","mobile",,,"unknown",,"/company/motorola-mobility","Motorola Mobility","mobile","USA",,"United States - Other",,"2/14/11","2011-02","2011-Q1",2011.0,,"USD",46
"/company/3par","3PAR","software","USA","CA","SF Bay","Fremont","/company/hewlett-packard","Hewlett-Packard","web","USA","CA","SF Bay","Palo Alto","9/2/10","2010-09","2010-Q3",2010.0,2.35E9,"USD",47
"/company/3pd-inc","3PD, Inc.","other","USA","GA","Atlanta","Marietta","/company/xpo-logistics","XPO Logistics","ecommerce","USA","CT","New York","Greenwich","8/16/13","2013-08","2013-Q3",2013.0,3.65E8,"USD",48
"/company/3ple-media","3ple-Media",,"NLD",,"Schiphol-Rijk","Schiphol-Rijk","/company/newnet-communication-technologies","NewNet Communication Technologies","public_relations","USA","IL","Chicago","Arlington Heights","10/19/10","2010-10","2010-Q4",2010.0,,"USD",49
"/company/3rd-power","3rd Power","web",,,"unknown",,"/company/webmediabrands","WebMediaBrands","web","USA","NY","New York","New York","1/3/10","2010-01","2010-Q1",2010.0,,"USD",50
"/company/3rdwhale","3rdWhale","mobile",,,"unknown",,"/company/gengreen","GenGreen","cleantech",,,"unknown",,"9/30/09","2009-09","2009-Q3",2009.0,,"USD",51
"/company/3tera","3Tera","enterprise","USA","CA","Los Angeles","Aliso Viejo","/company/ca","CA Technologies","software","USA","NY","Islandia","Islandia","2/24/10","2010-02","2010-Q1",2010.0,,"USD",52
"/company/3x-systems","3X Systems","security","USA","OH","Columbus","Columbus","/company/trustyd","Trustyd",,,,"unknown",,"10/25/12","2012-10","2012-Q4",2012.0,,"USD",53
"/company/4home","4Home","software","USA","CA","SF Bay","Sunnyvale","/company/motorola-solutions","Motorola Solutions","enterprise","USA","IL","Chicago","Schaumburg","12/1/10","2010-12","2010-Q4",2010.0,,"USD",54
"/company/4m-wireless","4M Wireless","mobile","GBR",,"London","Luton","/company/u-blox-ag","u-blox AG",,,,"unknown",,"4/24/12","2012-04","2012-Q2",2012.0,9000000.0,"USD",55
"/company/504investor-com","504investor.com",,,,"unknown",,"/company/pivx-solutions","PivX Solutions","software","NZL",,"New Zealand - Other",,"10/25/08","2008-10","2008-Q4",2008.0,,"USD",56
"/company/55bbs-com","55BBS.com","web",,,"unknown",,"/company/cnetnetworks","CNET Networks","web","USA","CA","SF Bay","San Francisco","6/18/08","2008-06","2008-Q2",2008.0,,"USD",57
"/company/56-com","56.com","games_video","CHN",,"Guangzhou","Guangzhou","/company/renren-inc","Renren Inc.","web","CHN",,"Beijing","Beijing","9/26/11","2011-09","2011-Q3",2011.0,8.0E7,"USD",58
"/company/5min","5min Media","games_video","USA","NY","New York","NY","/company/aol","AOL","news","USA","NY","New York","New York","9/28/10","2010-09","2010-Q3",2010.0,6.5E7,"USD",59
"/company/5to1","5to1","advertising",,,"unknown",,"/company/yahoo","Yahoo!","web","USA","CA","SF Bay","Sunnyvale","5/1/11","2011-05","2011-Q2",2011.0,3.0E7,"USD",60
"/company/60mo","60mo","software","GBR",,"Edinburgh","Edinburgh","/company/freeagent-central","FreeAgent","software","GBR",,"Edinburgh","Edinburgh","5/3/12","2012-05","2012-Q2",2012.0,,"USD",61
"/company/6consulting","6Consulting","consulting","GBR",,"London","Elstree","/company/radian6","Salesforce Radian6","web","CAN",,"Fredericton","Fredericton","3/11/11","2011-03","2011-Q1",2011.0,,"USD",62
"/company/6n-silicon","6N Silicon","other","CAN",,"Vaughan","Vaughan, ON","/company/silicor-materials","Silicor Materials","manufacturing","USA","CA","SF Bay","San Jose","2/11/10","2010-02","2010-Q1",2010.0,,"USD",63
"/company/six-waves","6Waves","games_video","HKG",,"Causeway Bay","Causeway Bay","/company/six-waves","6Waves","games_video","HKG",,"Causeway Bay","Causeway Bay","7/18/11","2011-07","2011-Q3",2011.0,,"USD",64
"/company/72-acre-property","72-Acre Property",,,,"unknown",,"/company/paragon-communications","Paragon Communications","public_relations","USA","MA","Boston","Ashland","8/14/12","2012-08","2012-Q3",2012.0,,"USD",65
"/company/724-solutions","724 Solutions",,,,"unknown",,"/company/mobixell","Mobixell Networks","mobile","USA","CA","SF Bay","San Jose","1/22/10","2010-01","2010-Q1",2010.0,,"USD",66
"/company/798-inc","798, Inc.","games_video","GBR",,"Newcastle","Newcastle - Upon - Tyne","/company/the-fennetic-company","The Fennetic Company","games_video",,,"unknown",,"8/12/10","2010-08","2010-Q3",2010.0,,"GBP",67
"/company/7inkjet-com","7inkjet.com",,,,"unknown",,"/company/lexon-technologies","Lexon Technologies","other","USA","CA","Los Angeles","La Mirada","11/5/09","2009-11","2009-Q4",2009.0,,"USD",68
"/company/7ticks","7ticks","hardware","USA","IL","Chicago","Chicago","/company/interactive-data","Interactive Data","software","USA","MA","Boston","Bedford","12/14/09","2009-12","2009-Q4",2009.0,,"USD",69
"/company/80-20","80/20","hardware","USA","NY","New York","New York","/company/square","Square","mobile","USA","CA","SF Bay","San Francisco","10/1/12","2012-10","2012-Q4",2012.0,,"USD",70
"/company/8x8-inc","8x8 Inc","network_hosting","USA","CA","SF Bay","San Jose","/company/contactual","Contactual","hardware","USA","CA","SF Bay","Redwood City","9/15/11","2011-09","2011-Q3",2011.0,,"USD",71
"/company/90-degree-software","90 Degree Software",,"CAN",,"Vancouver","Vancouver, BC","/company/microsoft","Microsoft","software","USA","WA","Seattle","Redmond","3/14/08","2008-03","2008-Q1",2008.0,,"USD",72
"/company/9rules","9Rules","public_relations",,,"unknown",,"/company/splashpress","Splashpress","advertising",,,"unknown",,"8/27/09","2009-08","2009-Q3",2009.0,,"USD",73
"/company/9threads","9Threads",,,,"unknown",,"/company/stone","Stone","advertising","USA","OH","Cincinnati","Independence","1/1/12","2012-01","2012-Q1",2012.0,,"USD",74
"/company/last-software","@Last Software",,,,"unknown",,"/company/google","Google","search","USA","CA","SF Bay","Mountain View","3/14/06","2006-03","2006-Q1",2006.0,,"USD",75
"/company/a-bit-lucky","A Bit Lucky","games_video","USA","CA","SF Bay","San Mateo","/company/zynga","Zynga","games_video","USA","CA","SF Bay","San Francisco","9/17/12","2012-09","2012-Q3",2012.0,,"USD",76
"/company/a-life-medical","A-Life Medical","biotech","USA","CA","San Diego","San Diego","/company/ingenix","Ingenix","consulting","USA","MN","Minneapolis","Eden Prairie","9/21/10","2010-09","2010-Q3",2010.0,,"USD",77
"/company/a-s-a-p-advisor-services","A.S.A.P. Advisor Services","enterprise",,,"unknown",,"/company/evestment-alliance","eVestment","analytics","USA","GA","Atlanta","Marietta","12/1/11","2011-12","2011-Q4",2011.0,,"USD",78
"/company/a1vacations","A1Vacations",,"USA","VA","Hardy","Hardy","/company/homeaway","HomeAway","travel","USA","TX","Austin","Austin","2/1/05","2005-02","2005-Q1",2005.0,,"USD",79
"/company/aaromba-technologies","Aaromba Technologies","software","AUS",,"North Sydney","North Sydney","/company/csg-limited","CSG Limited","software","AUS",,"Darwin NT","Darwin NT","6/2/10","2010-06","2010-Q2",2010.0,,"USD",80
"/company/aaron-walton-entertainment","Aaron Walton Entertainment",,,,"unknown",,"/company/omnicom-group","Omnicom Group",,"USA","NY","New York","New York","4/26/02","2002-04","2002-Q2",2002.0,,"USD",81
"/company/aastra-technologies","Aastra Technologies","mobile","CAN",,"TBD","ON L4K 4N9","/company/mitel-networks-corporation","Mitel Networks Corporation","public_relations","CAN",,"Kanata","Kanata","11/11/13","2013-11","2013-Q4",2013.0,,"USD",82
"/company/abacus-ew-consultancy","Abacus EW Consultancy",,"GBR",,"Wellingore","Wellingore","/company/mass-consultants","Mass Consultants",,"GBR",,"Cambridgeshire","Cambridgeshire","5/1/10","2010-05","2010-Q2",2010.0,,"USD",83
"/company/abacus-international","Abacus International",,,,"unknown",,"/company/decision-resources-group","Decision Resources Group",,"USA","MA","Boston","Burlington","12/4/12","2012-12","2012-Q4",2012.0,,"USD",84
"/company/abacus-transcriptions","Abacus Transcriptions",,"USA","TX","Houston","Houston","/company/imedx","iMedX","enterprise","USA","GA","Atlanta","Atlanta","12/21/11","2011-12","2011-Q4",2011.0,,"USD",85
"/company/abb-cade","ABB CADE",,,,"unknown",,"/company/hewlett-packard","Hewlett-Packard","web","USA","CA","SF Bay","Palo Alto","12/31/91","1991-12","1991-Q4",1991.0,,"USD",86
"/company/abcro","AbCRO","biotech","USA",,"Los Angeles","Wilmington,","/company/ppd","PPD","biotech","USA","NC","Wilmington","Wilmington","4/21/09","2009-04","2009-Q2",2009.0,,"USD",87
"/company/abilitycrm","AbilityCRM",,"USA","AZ","Phoenix","Scottsdale","/company/business-decision","Business & Decision","consulting","USA","PA","Philadelphia","Wayne","7/2/12","2012-07","2012-Q3",2012.0,,"USD",88
"/company/able-belgium","Able (Belgium)",,,,"unknown",,"/company/vasco","VASCO Data Security International","security","USA","IL","Chicago","Oakbrook Terrace","1/1/06","2006-01","2006-Q1",2006.0,,"USD",89
"/company/abnormal-returns","Abnormal Returns","web",,,"unknown",,"/company/stocktwits","StockTwits","web","USA","CA","San Diego","San Diego","1/25/10","2010-01","2010-Q1",2010.0,,"USD",90
"/company/about-me","About Me!",,"USA","CA","California - Other",,"/company/shutterfly","Shutterfly","ecommerce","USA","CA","SF Bay","Redwood City","6/27/07","2007-06","2007-Q2",2007.0,,"USD",91
"/company/about-reverse-mortgages","About Reverse Mortgages",,,,"unknown",,"/company/reverse-mortgage-lenders-direct","Reverse Mortgage Lenders Direct","finance","USA","FL","Fort Lauderdale","Ft Lauderdale","9/8/12","2012-09","2012-Q3",2012.0,50000.0,"USD",92
"/company/about-com","About.com","web","USA",,"United States - Other",,"/company/iac","IAC","news","USA","NY","New York","New York","8/27/12","2012-08","2012-Q3",2012.0,3.0E8,"USD",93
"/company/about-com","About.com","web","USA",,"United States - Other",,"/company/newyorktimes","New York Times","news","USA","NY","New York","New York","3/18/05","2005-03","2005-Q1",2005.0,4.1E8,"USD",94
"/company/aboutme","about.me","web","USA","CA","SF Bay","San Francisco","/company/aol","AOL","news","USA","NY","New York","New York","12/20/10","2010-12","2010-Q4",2010.0,3.5E7,"USD",95
"/company/aboutme","about.me","web","USA","CA","SF Bay","San Francisco","/company/tony-conrad-ryan-freitas","Tony Conrad & Ryan Freitas",,,,"unknown",,"2/5/13","2013-02","2013-Q1",2013.0,,"USD",96
"/company/aboutweblogs","AboutWeblogs","web","AUS",,"Mawson Lakes","Mawson Lakes","/company/b5media","b5media","news","CAN",,"Toronto","Toronto, ON","11/7/05","2005-11","2005-Q4",2005.0,,"USD",97
"/company/abovenet","AboveNet","network_hosting","USA","NY","New York","White Plains","/company/zayo-bandwidth","Zayo Bandwidth","network_hosting","USA","CO","Denver","Louisville","3/19/12","2012-03","2012-Q1",2012.0,2.2E9,"USD",98
"/company/abraxis-bioscience","Abraxis BioScience","biotech","USA","CA","Los Angeles","Los Angeles","/company/celgene","Celgene","biotech","USA","NJ","Summit","Summit","6/30/10","2010-06","2010-Q2",2010.0,2.9E9,"USD",99
"/company/absolute-punk","Absolute Punk","games_video",,,"unknown",,"/company/spin-media","SpinMedia","music","USA","CA","Los Angeles","Hollywood","5/5/08","2008-05","2008-Q2",2008.0,,"USD",100
